id	modality	theme	title	publication_date	journal	doi	pmid	evidence_type	concrete_content	decision_changed	constraints	skill_action	writing_requirement	jif_value	jif_year	jif_source
BK01	bulk RNA-seq raw reads	raw-read discovery and feature generation	Scalable and unsupervised discovery from raw sequencing reads using SPLASH2	2024-09-23	Nature Biotechnology	10.1038/s41587-024-02381-2	39313645	method; cross-technology demonstration	SPLASH2 uses scalable k-mer counting to discover regulated sequence variation and demonstrated unannotated cancer splicing and circular RNA in CCLE bulk RNA-seq.	Separate annotation-free discovery from routine alignment and gene quantification.	It is not an end-to-end QC or quantification pipeline; bulk findings still need locus-level and orthogonal validation.	Record the discovery route and validate novel sequence events before biological interpretation.	Methods must distinguish annotation-free discovery from annotated quantification; Results and legends must label novel events and their supporting evidence.	44.5	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK02	bulk RNA-seq transcriptome assembly	assembly QC	Comprehensive assessment of transcriptome assembly quality using CATS	2026-04-20	Nature Communications	10.1038/s41467-026-72171-8	42002560	method; benchmark	CATS jointly evaluates reference-free and reference-based transcriptome assembly quality across 1056 simulated and public transcriptomes.	Require assembly completeness and error diagnostics before interpreting reconstructed transcripts.	Assembly QC is relevant when transcript reconstruction is central and should not force de novo assembly into ordinary gene-count studies.	Create an assembly-QC gate and route conventional reference-based gene analysis separately.	Methods must state reference and assembly evaluation; Results must report completeness/error dimensions rather than one summary score.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK03	long-read bulk RNA-seq	long-read protocol and isoform quantification	A systematic benchmark of Nanopore long-read RNA sequencing for transcript-level analysis in human cell lines	2025-03-13	Nature Methods	10.1038/s41592-025-02623-4	40082608	benchmark	The study compares Nanopore protocols with PacBio and short-read approaches using controlled human cell-line data and spike-ins for isoform discovery and quantification.	Choose long-read chemistry and depth according to transcript-level estimand instead of assuming platform superiority.	Cell-line and tested-chemistry performance may not transfer to FFPE, low-input clinical tissue, or later chemistries.	Demand platform-specific QC, spike-in or orthogonal checks, and a short-read/gene-level comparator when relevant.	Report chemistry, read processing, depth, truth material and task-specific error; discuss platform transfer limits.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK04	long-read bulk RNA-seq	allele-specific long-read inference	SNP calling, haplotype phasing and allele-specific analysis with long RNA-seq reads	2026-03-30	Nature Methods	10.1038/s41592-026-03045-6	41912802	method; benchmark	longcallR jointly calls SNPs, phases haplotypes and estimates allele-specific expression or splicing; in 202 human samples it found many events involving unannotated junctions.	Add allele/haplotype as a distinct feature layer when long reads and coverage support it.	Long-read coverage, reference mapping bias, RNA editing and phasing error can mimic allele imbalance; imbalance is not automatically a cis mechanism.	Audit informative reads, phasing and reference bias and require independent allele or functional validation for key claims.	Methods and legends must state phasing/support rules; Discussion must separate allele-specific association from cis-regulatory causality.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK05	long-read RNA-seq at single-cell pseudobulk and bulk resolution	isoform discovery across resolutions	Accurate long-read transcript discovery and quantification at single-cell, pseudo-bulk and bulk resolution with Isosceles	2024-08-25	Nature Communications	10.1038/s41467-024-51584-3	39183289	method; benchmark	Isosceles evaluates Nanopore isoform discovery and quantification at single-cell, aggregated pseudobulk and true bulk resolution.	Keep resolution, transcript discovery and patient-level replication as separate contracts.	Pseudobulk is an aggregation of measured cells and is not a set of independent patients; the tool does not replace gene-level counting.	Label the resolution of every matrix and route patient-level inference through independent biological samples.	Methods and figures must distinguish single-cell, pseudobulk and true bulk inputs; Results must not inflate n with aggregates.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK06	count-based bulk RNA-seq	differential expression and complex design	edgeR v4: powerful differential analysis of sequencing data with expanded functionality and improved support for small counts and larger datasets	2025-01-22	Nucleic Acids Research	10.1093/nar/gkaf018	39844453	method	edgeR v4 expands quasi-likelihood differential analysis for small or fractional counts, complex designs, fold-change thresholds and exon or transcript usage.	Use count-compatible inference with an explicit estimable design, effect sizes and multiplicity rather than generic normalized-expression testing.	TPM or FPKM is not automatically valid input for a count likelihood; statistical significance does not replace effect and diagnostic review.	Audit count provenance, design rank, filtering, normalization, influence, contrasts, CI and FDR.	Methods must state formula, contrast, filter, normalization, robust policy and FDR family; Results must report effects and uncertainty.	15.0	2025	https://academic.oup.com/nar/pages/about
BK07	bulk RNA-seq and functional genomics	reference genome choice and mapping bias	Benchmarking genome choice in functional genomics analyses	2026-05-26	Nature Communications	10.1038/s41467-026-73663-3	42185280	multi-omics benchmark	The study compares hg38, CHM13, draft pangenome and personal phased assemblies for RNA-seq and other functional assays in five fully assembled LCL donors.	Make reference representation and annotation a documented analysis choice and sensitivity-test biologically important reference-sensitive loci.	Overall genome-choice effects were usually modest and the benchmark used five LCL donors; it does not mandate personal assemblies for all studies.	Record genome/annotation and rerun key reference-sensitive findings when their interpretation depends on mapping.	Methods must name the representation; Results and Discussion must quantify and bound reference sensitivity.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK08	bulk RNA-seq autopsy tissue	pre-analytic tissue-processing artifacts	Characterising processing conditions that artifactually bias human brain tissue transcriptomes	2026-02-17	Nature Communications	10.1038/s41467-026-68872-9	41702898	controlled pre-analytical artifact study	Immediate, approximately 6-hour and approximately 36-hour human brain processing conditions reveal structured artifact genes and a time-temperature response signature.	Treat post-mortem interval, time and temperature as potential causes of expression programs before DE, pathways or subtyping.	The evidence is adult brain/autopsy-specific; an artifact score flags risk but cannot recover the original transcriptome or act as universal batch correction.	Plot pre-analytic variables by group, restrict or adjust with sensitivity analysis, and stop when processing is fully confounded with contrast.	Report processing distributions, artifact sensitivity and residual confounding in Methods, Results, legends and Discussion.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK09	targeted clinical RNA-seq	targeted assay utility and FFPE QC	Clinical utility of targeted RNA sequencing in cancer molecular diagnostics	2025-07-17	Nature Medicine	10.1038/s41591-025-03848-8	40676318	prospective real-world clinical cohort	A single targeted assay was applied prospectively to 2310 neoplasms, with a 4.8% failure rate despite mostly FFPE material and documented diagnostic and treatment consequences.	For clinical RNA assays report failure, diagnostic reclassification and actionability, not only analytical detections.	A specialized targeted diagnostic assay is not whole-transcriptome discovery and cannot be generalized to prognosis or all laboratories.	Define panel universe, specimen quality, failure accounting and intended clinical use; bound non-targeted genes as unmeasured.	Methods and Results must report panel, failures and clinical consequence; Discussion must limit transfer beyond the tested service.	52.5	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK10	targeted RNA splicing assay	targeted alternative-splicing quantification	Machine learning-optimized targeted detection of alternative splicing	2024-12-27	Nucleic Acids Research	10.1093/nar/gkae1260	39727154	method; experimental benchmark	LSV-seq uses machine-learning-designed primers to enrich junction-spanning reads and sensitively quantify preselected splicing events at lower sequencing depth.	Use targeted measurement when biologically important splice events are undercovered by ordinary RNA-seq, while preserving the measured-universe boundary.	Primer design and preselection limit unbiased transcriptome-wide discovery and counts are not directly interchangeable with standard RNA-seq.	Require event definition, primer/coverage QC and orthogonal confirmation; do not infer global absence from panel non-detection.	Methods and legends must describe targeted events and coverage; Discussion must state ascertainment limits.	15.0	2025	https://academic.oup.com/nar/pages/about
BK11	bulk RNA-seq across platforms	alternative-splicing event analysis	Shiba: a versatile computational method for systematic identification of differential RNA splicing across platforms	2025-02-25	Nucleic Acids Research	10.1093/nar/gkaf098	39997221	method; benchmark	Shiba integrates assembly, event identification, junction counting and differential splicing, including unannotated events and junction-read imbalance, in a containerized workflow.	Route splicing through event-level counts, coverage and null hypotheses rather than infer it from gene DE.	Demonstrated technical operation at n=1 does not replace biological replication; low coverage and event multiplicity remain limiting.	Add minimum event support, biological-replicate modeling, complete FDR results and targeted validation of key events.	Report event definition, support, effect, FDR and validation; legends must show coordinates and informative-read denominator.	15.0	2025	https://academic.oup.com/nar/pages/about
BK12	bulk RNA-seq animal experiments	sample size and biological replication	Optimized murine sample sizes for RNA sequencing studies revealed from large scale comparative analysis	2025-11-19	Nature Communications	10.1038/s41467-025-65022-5	41261110	large-scale comparative analysis	Two mouse experiments with 30 biological replicates per group quantify false positives, missed effects and stability under repeated smaller subsamples.	Base power on independent biological n, variance and meaningful effect; a larger fold-change threshold cannot rescue insufficient replication.	The observed n=6–7 behavior is mouse-, tissue-, effect- and threshold-specific and is not a universal minimum.	Require a design-specific power or precision rationale and downgrade null/absence claims when CIs are wide.	Methods must justify n and unit; Results must report effect CIs and stability; Discussion must avoid universal sample-size rules.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK13	calibrated bulk RNA-seq	absolute transcriptomics and metrology	A metrological foundation for absolute transcriptomics using International System of Units-anchored calibrators	2026-03-26	Nature Communications	10.1038/s41467-026-70582-1	41888124	method; metrology	One hundred SI-traceable biomimetic calibrators characterize systematic and sequence-dependent bias and connect sequencing readout to absolute transcript quantity.	Distinguish relative compositional abundance from absolute molecules and permit absolute wording only with processing-stage calibration.	Calibrators must accompany samples through processing and cannot retrospectively fix public historical data; transfer and dynamic range require validation.	Record calibrator timing and traceability or replace absolute claims with relative abundance.	Methods must specify calibration chain; Results must report uncertainty/bias; legends and Discussion must label relative versus absolute scales.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK14	bulk RNA-seq with single-cell reference	transcriptome-size bias in deconvolution	Transcriptome size matters for single-cell RNA-seq normalization and bulk deconvolution	2025-02-01	Nature Communications	10.1038/s41467-025-56623-1	39893178	method; benchmark	The study shows that total mRNA differences among cell types, gene length and reference variance systematically bias bulk deconvolution, especially for rare cells.	Audit whether the target is RNA contribution or cell fraction and test transcriptome-size correction before interpreting composition.	Correction relies on the reference and remains an estimate; it does not convert deconvolution into FACS or histology truth.	Report target quantity, reference and correction; validate key fractions and rare states orthogonally.	Use “estimated fraction/contribution” and report transcriptome-size sensitivity in Methods, Results and legends.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK15	bulk RNA-seq with single-cell reference	deconvolution batch effects	Alleviating batch effects in cell type deconvolution with SCCAF-D	2024-12-30	Nature Communications	10.1038/s41467-024-55213-x	39738054	method; benchmark	SCCAF-D directly studies cross-source batch effects between bulk mixtures and single-cell references and shows why same-source pseudobulk benchmarks can overestimate performance.	Make bulk-reference distribution shift a gate and evaluate correction using independent or orthogonal truth.	Correction can remove genuine disease variation; improved mixing or correlation alone is not proof of biological validity.	Compare uncorrected and corrected results against truth and preserve the biological contrast in the adjustment.	Methods must state reference/batch strategy; Results must show sensitivity; Discussion must not claim complete batch removal.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK16	bulk tumor gene expression	community benchmark of immune deconvolution	Community assessment of methods to deconvolve cellular composition from bulk gene expression	2024-08-27	Nature Communications	10.1038/s41467-024-50618-0	39191725	community benchmark; DREAM challenge	Six published and 22 community methods were evaluated with held-out in-vitro and in-silico mixtures; broad cell types were more recoverable than several functional T-cell states.	Select deconvolution according to target cell/state and truth scenario rather than one global leaderboard.	Controlled mixtures do not reproduce all tumor ecology; fine functional states remain difficult and an author correction should be consulted.	Collapse unsupported states, report method/reference sensitivity and obtain independent tissue truth.	Results and legends must label estimates and state truth/reference; Discussion must bound fine-state claims.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK17	bulk RNA-seq with FACS or single-cell reference	pseudobulk-to-real shift and interpretable deconvolution	An interpretable and adaptive autoencoder for efficient tissue deconvolution	2025-09-01	Nucleic Acids Research	10.1093/nar/gkaf821	40889155	method; gold-standard benchmark	Sweetwater models pseudobulk-to-real distribution shift, supports multiple reference classes and provides a small FACS-mixed PBMC gold-standard dataset with RNA-quantity information.	Audit reference choice, real-versus-simulated shift and interpretability before accepting deep deconvolution output.	The gold standard is small and largely same-donor; adaptation does not guarantee tissue, platform or disease transport and learned weights are not mechanism.	Use matched truth where possible and test across references, gene sets and held-out real bulk samples.	Report reference, shift adaptation, truth and uncertainty; describe learned markers as model features rather than causal genes.	15.0	2025	https://academic.oup.com/nar/pages/about
BK18	tissue-level bulk transcriptomics and multi-omics	multi-omics deconvolution with incomplete reference	DECODE: deep learning-based common deconvolution framework for various omics data	2026-03-02	Nature Methods	10.1038/s41592-026-03007-y	41772096	method; multi-omics benchmark	DECODE estimates cell types and states from tissue-level transcriptomic, proteomic and metabolomic data while aligning platforms/conditions and testing incomplete references.	Allow multi-omics deconvolution only with explicit reference completeness, domain-shift and known-state assumptions.	Training uses simulated tissues, artificial noise and single-cell references; reconstructed cellular layers are inferred, not measured.	Compare against omics-specific baselines, test missing states and validate selected results with direct measurements.	Methods and figures must label simulated/reference inputs and estimated outputs; Discussion must not equate multi-omics consistency with truth.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK19	bulk transcriptomics with PET pathology and clinical data	radiotranscriptomic multimodal prediction	Integration of clinical, pathological, radiological, and transcriptomic data improves prediction for first-line immunotherapy outcome in metastatic non-small cell lung cancer	2025-01-12	Nature Communications	10.1038/s41467-025-55847-5	39800784	multimodal clinical cohort	Baseline PET, digital pathology, bulk transcriptomics and clinical variables from 317 metastatic NSCLC patients were compared across multiple integration strategies for first-line immunotherapy outcome.	Require clinical, imaging and RNA unimodal baselines plus incremental multimodal value and patient-level leakage control.	One observational cohort and modality availability may induce selection; external prospective validation is still required and correlations are not immune mechanisms.	Build the baseline ladder, fit all fusion steps in training only and report missing-modality and mapping sensitivity.	Methods must define linkage/fusion/splits; Results must compare all baselines with CI/calibration; Discussion must bound mechanism.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK20	bulk RNA-seq in randomized therapy study	treatment-response signature and assay translation	Deep molecular profiling of synovial biopsies in the STRAP trial identifies signatures predictive of treatment response to biologic therapies in rheumatoid arthritis	2025-07-02	Nature Communications	10.1038/s41467-025-60987-9	40603860	randomized-trial biomarker study; external validation	Pretreatment synovial RNA-seq from the randomized STRAP trial used repeated nested validation, external R4RA testing and translation to a 524-gene nCounter panel.	Demand leakage-safe development, independent cohort testing and assay translation before elevating a response signature.	Evidence is limited to rheumatoid synovium and specified biologics; sample sizes and converted-panel performance do not generalize automatically.	Freeze the signature and panel transform, report external degradation and require a new intended-use validation for transfer.	Report nested design, external cohort, panel conversion, AUC/CI and treatment context; Discussion must state disease/therapy scope.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK21	blood bulk transcriptomics	cross-cohort clinical subtyping	A consensus blood transcriptomic framework for sepsis	2025-09-30	Nature Medicine	10.1038/s41591-025-03964-5	41028542	consensus framework; multi-cohort validation	MARS and GAinS cohorts were integrated into three consensus transcriptomic subtypes with validation across follow-up samples, a randomized trial and an external Ugandan cohort.	Require subtype concordance across algorithms, cohorts, time and treatment settings rather than one clustering solution.	Sepsis whole-blood subtypes are disease-, time- and composition-dependent and should not become universal or immutable patient classes.	Quantify assignment stability, longitudinal transitions, composition and external transport; keep disease-specific scope.	Methods and legends must define consensus/assignment; Results must report stability and external cohorts; Discussion must avoid fixed universal labels.	52.5	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK22	tumor bulk RNA-seq with DNA-derived purity	tumor cell-state deconvolution	Statescope: an integrative deconvolution framework for discovering cell states in tumors	2026-07-06	Nature Communications	10.1038/s41467-026-74997-8	42409797	method; benchmark	Statescope incorporates DNA-derived malignant-cell purity and sample-varying expression to infer tumor cell states rather than only broad cell fractions.	For tumor-state inference require reliable purity and explicit missing-state validation.	The method is cancer-specific and a claimed state absent from the reference remains a computational discovery until confirmed.	Audit purity, state coverage and identifiability and validate novel states with single-cell, spatial or tissue assays.	Label states as inferred; report purity source and validation; avoid describing computationally discovered states as observed cells.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
