id	modality	theme	title	publication_date	journal	journal_family	doi	pmid	url	evidence_type	jif_value	jif_year	jif_source	concrete_content	decision_changed	constraints	skill_action	writing_requirement
SC01	scRNA-seq+cell imaging	QC-doublets	ImageDoubler: image-based doublet identification in single-cell sequencing	2025-01-02	Nature Communications	Nature Portfolio	10.1038/s41467-024-55434-0	39747095	https://doi.org/10.1038/s41467-024-55434-0	primary	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Uses retained Fluidigm cell images to identify doublets with reported performance up to 93.87% and exposes limits of transcriptome-simulated doublet benchmarks.	Makes image availability part of the QC contract and prevents generalizing an image-based result to ordinary droplet data.	Requires retained Fluidigm imaging; does not validate a 10x transcriptome-only doublet method or address ambient RNA.	Ask for image provenance; audit doublet attrition and hybrid-marker sensitivity; mark the general droplet benchmark gap.	Methods: image acquisition, classifier and threshold; Results: performance and attrition; Legend: image/score definition; Discussion: platform-limited generalizability.
SC02	scRNA-seq	platform-QC	A comprehensive analysis framework for evaluating commercial single-cell RNA sequencing technologies	2024-12-16	Nucleic Acids Research	Oxford University Press	10.1093/nar/gkae1186	39675380	https://doi.org/10.1093/nar/gkae1186	benchmark	15.0	2025	https://academic.oup.com/nar	Compares nine commercial scRNA-seq kits on PBMCs for read utilization, sensitivity, cost and analytic performance.	Requires platform/read-utilization and cost-sensitivity reporting instead of treating cell count as the only assay-quality metric.	Single PBMC donor and time-specific product versions; cannot establish a universal best kit.	Match assay choice to estimand; audit per-sample yield and retained-information metrics; request kit/version metadata.	Methods: kit/version, input, depth and pipeline; Results: sensitivity/read utilization; Legend: donor and depth; Discussion: single-donor/product-version limits.
SC03R	scRNA-seq	preprocessing-lncRNA	Uncovering functional lncRNAs by scRNA-seq with ELATUS	2024-11-09	Nature Communications	Nature Portfolio	10.1038/s41467-024-54005-7	39521797	https://doi.org/10.1038/s41467-024-54005-7	primary	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Benchmarks alignment, reference annotation and filtering for low-expression lncRNA recovery and implements Kallisto-based ELATUS with selective filtering.	Makes quantifier, annotation and filtering sensitivity mandatory when interpreting lncRNAs or other low-abundance features.	lncRNA-focused evidence; does not establish a universal preprocessing winner for all gene-level analyses.	Create a feature-generation passport and repeat key lncRNA results across defensible annotations/quantifiers.	Methods: annotation, quantifier and filtering; Results: detection/sensitivity comparison; Legend: feature universe; Discussion: low-expression and annotation dependence.
SC04R	scRNA-seq nascent+mature RNA	transcriptional-kinetics	Monod: model-based discovery and integration through fitting stochastic transcriptional dynamics to single-cell sequencing data	2025-11-07	Nature Methods	Nature Portfolio	10.1038/s41592-025-02832-x	41203866	https://doi.org/10.1038/s41592-025-02832-x	primary	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Fits stochastic transcriptional dynamics to nascent and mature RNA counts to separate technical and biological variation without relying on opaque normalized embeddings.	Requires kinetic claims to use compatible molecular layers and explicit biophysical assumptions rather than generic normalized expression.	Needs reliable nascent/mature information and model adequacy; inferred parameters are not direct rates or observed time.	Audit count layers and assumptions; compare kinetic conclusions with simpler expression summaries and sensitivity fits.	Methods: molecular layers, likelihood and diagnostics; Results: parameter uncertainty; Legend: inferred quantities; Discussion: identifiability and assay limitations.
SC05	scRNA-seq	feature-selection-integration	Feature selection methods affect the performance of scRNA-seq data integration and querying	2025-03-13	Nature Methods	Nature Portfolio	10.1038/s41592-025-02624-3	40082610	https://doi.org/10.1038/s41592-025-02624-3	benchmark	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Shows that HVG method, feature number and batch/lineage-aware selection change integration, label transfer, query mapping and unseen-population detection.	Moves feature selection from an invisible default to a task-fitted model component requiring held-out sensitivity.	Rankings are task and dataset dependent; label leakage and reference coverage can change apparent performance.	Prespecify feature-selection purpose; compare feature counts/methods; evaluate unseen populations and leave-dataset-out queries.	Methods: feature rule, number and fit scope; Results: preservation/query sensitivity; Legend: feature set; Discussion: task-specific dependence.
SC06	scRNA-seq	integration-biology-preservation	Recovery of biological signals lost in single-cell batch integration with CellANOVA	2024-11-26	Nature Biotechnology	Nature Portfolio	10.1038/s41587-024-02463-1	39592777	https://doi.org/10.1038/s41587-024-02463-1	primary	44.5	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Demonstrates that integration can remove biological signal and uses a pool-of-controls design to recover biologically relevant variation.	Requires biological-preservation checks alongside batch mixing and makes experimental controls central to identifiable correction.	Cannot recover a biological effect fully confounded with batch; control-pool assumptions must fit the design.	Audit biology-batch balance; compare unintegrated counts and integrated space; stop if effect is non-identifiable.	Methods: control pool, integration purpose and preservation metrics; Results: recovered/lost signals; Legend: corrected versus raw layer; Discussion: confounding boundary.
SC07R	scRNA-seq	pretrained-reference-models	scvi-hub: an actionable repository for model-driven single-cell analysis	2025-09-08	Nature Methods	Nature Portfolio	10.1038/s41592-025-02799-9	40921843	https://doi.org/10.1038/s41592-025-02799-9	primary	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Provides discoverable pretrained probabilistic single-cell models for atlas reuse, annotation, imputation and deconvolution workflows.	Makes checkpoint, reference provenance, preprocessing compatibility and domain coverage part of the analysis contract.	Repository availability does not establish validity; reference/model bias and distribution mismatch remain.	Audit checkpoint/corpus overlap and compatibility; require query uncertainty and simple task-specific baselines.	Methods: model/checkpoint, corpus and preprocessing; Results: held-out transfer and uncertainty; Legend: model-derived values; Discussion: reference-domain limits.
SC08R	single-cell multi-omics	multiomics-integration	Benchmarking algorithms for single-cell multi-omics prediction and integration	2024-09-25	Nature Methods	Nature Portfolio	10.1038/s41592-024-02429-w	39322753	https://doi.org/10.1038/s41592-024-02429-w	benchmark	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Benchmarks 14 prediction and 18 integration algorithms across 47 datasets and vertical, horizontal and mosaic multi-omic configurations.	Requires integration evaluation to match the actual data configuration and downstream task rather than quote a single overall rank.	Multi-omics-specific; not a universal pure-scRNA batch-correction ranking and performance depends on modality/configuration.	Classify the integration configuration; use task-matched metrics and held-out datasets; do not extrapolate rankings.	Methods: configuration, modalities and metrics; Results: task-specific performance; Legend: measured versus predicted modality; Discussion: benchmark transfer limits.
SC09	scRNA-seq	cohort-scale-heterogeneity	Deep generative modeling of sample-level heterogeneity in single-cell genomics	2025-10-13	Nature Methods	Nature Portfolio	10.1038/s41592-025-02808-x	41083897	https://doi.org/10.1038/s41592-025-02808-x	primary	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	MrVI models sample-level heterogeneity without prespecified cell states and illustrates stratification in COVID-19, IBD and perturbation cohorts.	Elevates sample-level latent structure as a cohort estimand while preserving the biological sample as the inferential unit.	Latent groups are hypotheses; external meaning, stability and validation are required and cells do not increase patient n.	Define sample-level target; perform donor/site holdouts and latent-state stability; validate strata externally.	Methods: sample hierarchy, model and splits; Results: sample-level uncertainty/replication; Legend: donor-level points; Discussion: exploratory latent-group meaning.
SC10	scRNA-seq	annotation-consensus	Consensus prediction of cell type labels in single-cell data with popV	2024-11-20	Nature Genetics	Nature Portfolio	10.1038/s41588-024-01993-3	39567746	https://doi.org/10.1038/s41588-024-01993-3	primary	25.5	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Combines multiple annotation methods with ontology-aware consensus voting and uncertainty reporting.	Requires consensus/confidence and an unknown option rather than treating one transferred label as ground truth.	Dependent on reference and ontology coverage; novel or rare states can be forcibly assigned.	Build a marker-reference-consensus evidence matrix; review low-confidence labels manually and preserve unknowns.	Methods: reference, ontology, voters and confidence; Results: concordance/unresolved fraction; Legend: label source; Discussion: reference coverage.
